unix_time,gps_date,gps_time,latitude,longitude,altitude,speed,course,sats,hdop,vdop,lux,broadband,ir,uv,pressure,humidity,accel_x,accel_y,accel_z, mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp_main,temp_internal,temp_external,temp_gps,temp_tsl2561,temp_sht31,temp_uv,temp_ms5607,temp_custom,temp_clock,geiger_x,geiger_y,geiger_z,pwm_main,pwm_gps,pwm_tsl2561,pwm_sht31,pwm_uv,max_pwm,voltage,state_of_charge,launched,alarm,found_lsm9ds1,found_sht31,found_ms5607,found_uv,found_ds18b20,found_tsl2561,found_gps,crc_match
1476297016,131016,19301895,46.3993835449,-93.1714553833,2559.6999511718,20.5263328552,97.4000015258,9,120,1,65536,37065,30164,754.0000000000,74955.4218750000,14.1878385543,-0.1461181640,0.1142578125,0.7916870117,-0.3592400074,0.1912400054,0.0104999995,-29.8324584960,44.8085021972,-36.0905456542,0.2500000000,-13.5000000000,-1.7500000000,-6.6250000000,-1.7500000000,0.7454032897,2.1250000000,-290.1265869140,-1000.0000000000,-1000.0000000000,1,0,0,252,255,255,0,0,255,3.3912498950,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297019,131016,19302195,46.3992309570,-93.1708145141,2537.3000488281,17.2338886260,108.5999984741,9,120,1,16249,17856,6807,753.0000000000,75119.8125000000,13.5225448608,0.0594482421,0.1440429687,1.0432128906,-0.1989400100,0.4354000091,-0.0914200019,30.4081726074,6.2281799316,6.9833374023,0.2500000000,-13.3750000000,-1.7500000000,-6.5000000000,-1.7500000000,0.5771713256,2.2500000000,-278.1515502929,-1000.0000000000,-1000.0000000000,0,0,0,255,255,255,0,0,255,3.3762500286,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297021,131016,19302495,46.3991165161,-93.1700286865,2516.8000488281,21.5552196502,99.6999969482,9,120,1,65536,37065,37065,754.0000000000,75266.5468750000,12.7992677688,-0.1870727539,-0.0784301757,0.6616210937,-0.2956800270,0.2669799804,0.3064600229,108.9595031738,44.7636413574,-21.7575073242,0.2500000000,-13.2500000000,-1.7500000000,-6.3750000000,-1.7500000000,0.3101387023,2.2500000000,-272.4882812500,-1000.0000000000,-1000.0000000000,0,0,0,255,255,255,0,0,255,3.3937499523,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297024,131016,19302795,46.3991355895,-93.1692047119,2495.6999511718,21.5552196502,99.6999969482,9,120,1,65536,37065,37065,755.0000000000,75435.0781250000,12.4208440780,0.0888671875,0.0200195312,0.4575195312,-0.3429999828,0.2609600067,0.2221800088,15.8583068847,39.6046447753,-19.8509216308,0.5000000000,-13.2500000000,-1.7500000000,-6.2500000000,-1.7500000000,0.5344467163,2.3750000000,-264.2753906250,-1000.0000000000,-1000.0000000000,1,0,0,255,255,255,42,0,255,3.3662500381,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297026,131016,19302795,46.3991355895,-93.1692047119,2495.6999511718,21.4523315429,90.1999969482,9,120,1,9601,6734,1539,752.0000000000,75583.7812500000,12.3369188308,-0.0059204101,0.1976318359,0.7299804687,-0.2935800075,0.2643200159,0.2692199945,-97.4975585937,34.5578002929,-20.4490661621,0.5000000000,-13.1250000000,-1.7500000000,-6.2500000000,-1.6250000000,0.7881278991,2.3750000000,-249.6467437744,-1000.0000000000,-1000.0000000000,1,0,0,157,255,255,0,0,255,3.4362499713,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297029,131016,19303095,46.3990058898,-93.1684417724,2475.3000488281,19.6003322601,104.8000030517,8,150,1,65536,37065,21356,755.0000000000,75742.9218750000,12.8221559524,-0.0739746093,0.0854492187,0.4584960937,-0.1754199981,0.0186200008,-0.3064600229,-6.3403320312,0.7850646972,-47.1711730957,0.5000000000,-13.1250000000,-1.8750000000,-6.1250000000,-1.6250000000,0.2273597717,2.3750000000,-234.1205749511,-1000.0000000000,-1000.0000000000,0,0,0,151,255,255,0,0,255,3.4249999523,32.5507812500,1,0,1,1,1,0,1,1,0,0
1476297031,131016,19303395,46.3989715576,-93.1678390502,2454.6999511718,16.4107761383,90.1999969482,9,120,1,65536,37065,37065,757.0000000000,75893.3281250000,15.7396812438,-0.2086181640,-0.0534057617,0.7517700195,-0.3494400024,0.1544200038,-0.0033599998,149.1697692871,19.2153930664,-36.4718627929,0.7500000000,-13.0000000000,-1.8750000000,-6.0000000000,-1.6250000000,0.4783706665,2.3750000000,-224.4390563964,-1000.0000000000,-1000.0000000000,2,0,0,96,255,255,29,0,255,3.4625000953,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297034,131016,19303695,46.3989410400,-93.1669921875,2434.5000000000,23.4072208404,98.0999984741,9,120,1,16407,18915,7414,753.0000000000,76076.1562500000,20.5004959106,0.1655883789,0.1774291992,1.2442016601,-0.0725200080,-0.2262400150,-0.3179399967,148.7585449218,4.7552490234,-35.7167053222,0.7500000000,-12.8750000000,-1.8750000000,-5.8750000000,-1.6250000000,0.5344467163,2.3750000000,-217.8541564941,-1000.0000000000,-1000.0000000000,2,0,0,0,255,255,0,0,255,3.5237500667,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297036,131016,19303995,46.3988380432,-93.1663131713,2412.8999023437,16.3078880310,97.9000015258,9,120,1,65536,37065,37065,756.0000000000,76239.2343750000,24.9820709228,-0.0281372070,0.2973022460,0.2083129882,-0.3162600040,0.0046200003,0.1370599985,145.8351135253,82.0729064941,4.4038391113,0.7500000000,-12.8750000000,-2.0000000000,-5.8750000000,-1.6250000000,0.4383163452,2.5000000000,-212.4820251464,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,0,0,255,3.5374999046,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297039,131016,19303995,46.3988380432,-93.1663131713,2412.8999023437,16.3078880310,97.9000015258,9,120,1,9751,6678,1444,752.0000000000,76381.9843750000,27.8416118621,-0.2106323242,0.4519653320,0.2802124023,-0.2056600093,-0.2660000085,0.0131600010,142.2686767578,71.4857482910,-17.4060058593,0.7500000000,-12.7500000000,-2.0000000000,-5.7500000000,-1.5000000000,0.5638198852,2.6250000000,-202.3590850830,-1000.0000000000,-1000.0000000000,3,0,0,0,255,255,0,0,255,3.5225000381,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297041,131016,19304295,46.3987808227,-93.1657104492,2392.1999511718,17.1824436187,102.4000015258,9,120,1,65536,37065,36292,756.0000000000,76553.2500000000,28.5282669067,-0.1212158203,0.0921020507,0.7478027343,-0.2002000093,0.4222400188,-0.0018200001,-58.3489990234,12.5311279296,-28.3071899414,1.0000000000,-12.6250000000,-2.0000000000,-5.6250000000,-1.5000000000,0.1712837219,2.6250000000,-192.0809326171,-1000.0000000000,-1000.0000000000,0,0,0,0,255,255,0,0,255,3.5412499904,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297044,131016,19304595,46.3987236022,-93.1648406982,2373.1000976562,22.4297752380,94.0000000000,9,120,1,65536,37065,37065,756.0000000000,76716.0000000000,28.0766010284,-0.0823364257,0.0532836914,0.4949340820,-0.3259200096,0.1393000011,0.0327600002,-8.9721679687,29.2044067382,-25.4510498046,0.7500000000,-12.6250000000,-2.0000000000,-5.5000000000,-1.5000000000,0.4943923950,2.7500000000,-182.4556121826,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,3,0,255,3.5212500095,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297046,131016,19304895,46.3987617492,-93.1641998291,2353.0000000000,15.6391105651,85.5000000000,7,130,1,8327,5834,1330,752.0000000000,76856.5625000000,26.9123363494,0.0372924804,-0.0216674804,0.4457397460,-0.1412600040,0.1439200019,0.4650800228,121.0719299316,-0.3887939453,-34.6325683593,0.7500000000,-12.5000000000,-2.0000000000,-5.5000000000,-1.3750000000,0.4222946166,2.8750000000,-179.3253326416,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,0,0,255,3.5425000190,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297049,131016,19305195,46.3986434936,-93.1635360717,2332.8000488281,20.5263328552,102.3000030517,9,120,1,65536,37065,34947,754.0000000000,77013.1406250000,25.6031131744,0.1693725585,-0.1004028320,0.8067626953,-0.2843400001,-0.0305200004,-0.0849800014,70.9922790527,3.2972717285,-24.1949462890,0.7500000000,-12.5000000000,-2.0000000000,-5.3750000000,-1.3750000000,0.4089431762,3.0000000000,-175.6113433837,-1000.0000000000,-1000.0000000000,2,0,0,0,255,255,0,0,255,3.5287499427,32.1210937500,1,0,1,1,1,0,1,1,0,0
1476297051,131016,19305495,46.3985252380,-93.1627197265,2314.1000976562,21.2979984283,102.0999984741,9,120,1,65536,37065,25609,755.0000000000,77143.8750000000,24.6555271148,0.0035400390,-0.0657958984,0.1822509765,-0.2991800117,0.2220400094,0.0695800065,-223.5116577148,9.6376037597,-21.4659118652,0.7500000000,-12.3750000000,-2.0000000000,-5.2500000000,-1.3750000000,0.5771713256,3.1250000000,-170.7298889160,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,0,0,255,3.5462501049,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297054,131016,19305495,46.3985252380,-93.1627197265,2314.1000976562,21.2979984283,102.0999984741,9,120,1,24544,23938,8353,753.0000000000,77280.0937500000,24.8996715545,0.0350952148,0.2935180664,0.7572631835,-0.1787800073,-0.1815800094,-0.2262400150,9.0095520019,18.5798645019,1.5626525878,0.7500000000,-12.2500000000,-2.0000000000,-5.1250000000,-1.2500000000,0.3395118713,3.2500000000,-167.2715301513,-1000.0000000000,-1000.0000000000,2,0,0,0,255,255,0,0,255,3.5299999713,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297056,131016,19305795,46.3984107971,-93.1620025634,2297.6000976562,19.3945541381,101.3000030517,9,120,1,65536,37065,37065,756.0000000000,77418.2343750000,26.3828487396,0.2564086914,0.3374023437,0.1014404296,-0.0295399999,-0.0875000095,0.5107200145,-183.5929870605,34.9914550781,-95.9124755859,0.7500000000,-12.2500000000,-2.0000000000,-5.0000000000,-1.2500000000,0.0724792480,3.2500000000,-160.6335144042,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,0,0,255,3.5462501049,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297059,131016,19310095,46.3983955383,-93.1611633300,2280.6999511718,20.6806659698,90.6999969482,7,170,1,14377,16623,6526,752.0000000000,77572.6406250000,28.5618362426,0.0148315429,0.6556396484,-0.0751953125,-0.3171000242,-0.0084000005,0.1302000045,-214.0086364746,49.4815063476,-68.2183837890,0.5000000000,-12.1250000000,-2.1250000000,-5.0000000000,-1.2500000000,0.4650192260,3.2500000000,-153.7295532226,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,4,0,255,3.5262498855,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297061,131016,19310395,46.3984794616,-93.1605682373,2263.6999511718,14.6102209091,85.0000000000,9,120,1,65536,37065,14668,753.0000000000,77732.1562500000,32.1782264709,-0.0331420898,-0.2820434570,0.5734863281,-0.0422800016,0.4474400043,0.3624600172,-105.8117675781,3.7683105468,-61.6537475585,0.5000000000,-12.0000000000,-2.1250000000,-4.8750000000,-1.1250000000,0.0724792480,3.3750000000,-152.6163482666,-1000.0000000000,-1000.0000000000,1,0,0,0,255,255,0,0,255,3.5462501049,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297064,131016,19310695,46.3985061645,-93.1598129272,2246.3999023437,20.6292209625,85.8000030517,9,120,1,65536,37065,37065,757.0000000000,77884.9843750000,35.9166870117,-0.3101806640,-0.1992797851,0.4932861328,-0.2246999979,0.1383199930,0.3763200044,100.8845520019,-6.9609069824,-50.8572387695,0.5000000000,-11.8750000000,-2.2500000000,-4.7500000000,-1.2500000000,0.2140083312,3.3750000000,-150.1597442626,-1000.0000000000,-1000.0000000000,0,0,0,0,255,255,0,0,255,3.5374999046,31.6914062500,1,0,1,1,1,0,1,1,0,0
1476297066,131016,19310995,46.3986015319,-93.1591491699,2228.1000976562,15.7419996261,79.0000000000,9,120,1,10104,7048,1591,752.0000000000,78056.9687500000,39.6139450073,-0.1082153320,-0.0097045898,0.7241821289,-0.2893800258,0.1916600036,0.1947400093,-34.6400451660,2.7290344238,-30.7595825195,0.2500000000,-11.8750000000,-2.3750000000,-4.6250000000,-1.1250000000,0.5504684448,3.3750000000,-151.3726196289,-1000.0000000000,-1000.0000000000,0,0,0,0,255,255,0,0,255,3.5499999523,31.6914062500,1,0,1,1,1,0,1,1,0,0
